Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
44 (1),45.42836 N,63.20657 W,DF,Penta,6.5,,0.907,0.255,
44 (2),45.42836 N,63.20657 W,DF,Penta,6.2,,0.349,0.098,
45 (1),45.42900 N,63.20462 W,RP,Penta,7.8,,,-1,Creo
45 (2),45.42900 N,63.20462 W,RP,Penta,7.2,,,-1,Creo
46 (1),45.42958 N,63.20264 W,RP,Penta,26,,0.262,0.064,
46 (2),45.42958 N,63.20264 W,RP,Penta,7.2,,,-1,Creo
47 (1),45.43029 N,63.20090 W,RP,Penta,7.8,,0.341,0.083,
47 (2),45.43029 N,63.20090 W,RP,Penta,6.9,,0.259,0.063,
48 (1),45.43090 N,63.19883 W,RP,Penta,8,,0.529,0.129,
48 (2),45.43090 N,63.19883 W,RP,Penta,10.4,,1.003,0.244,
49 (1),45.43132 N,63.19704 W,DF,Penta,11.1,,0.545,0.153,
49 (2),45.43132 N,63.19704 W,DF,Penta,10.7,,0.753,0.212,
50 (1),45.43242 N,63.19401 W,RP,Penta,12.3,,0.022,0.005,
50 (2),45.43242 N,63.19401 W,RP,Penta,25.1,,0.026,0.006,
50 (3),45.43242 N,63.19401 W,RP,Penta,Unknown,,0.123,0.03,Pole moisture was not recorded on sheet
51 (1),45.43318 N,63.19184 W,DF,Penta,10.1,,0.185,0.052,
51 (2),45.43318 N,63.19184 W,DF,Penta,10.3,,0.237,0.066,
52 (1),45.43400 N,63.18939 W,SYP,Penta,11.6,,0.286,0.096,
52 (2),45.43400 N,63.18939 W,SYP,Penta,12.2,,0.233,0.078,
53 (1),45.43468 N,63.18733 W,RP,Penta,13,,0.763,0.185,
53 (2),45.43468 N,63.18733 W,RP,Penta,12.1,,0.687,0.167,
54 (1),45.43553 N,63.18509 W,DF,Penta,10.8,,0.168,0.047,
54 (2),45.43553 N,63.18509 W,DF,Penta,9.1,,0.087,0.025,
55 (1),45.43630 N,63.18298 W,RP,Penta,12.3,,,-1,Creo
55 (2),45.43630 N,63.18298 W,RP,Penta,11.2,,,-1,Creo
56 (1),45.43700 N,63.18077 W,DF,Penta,16.5,,0.128,0.036,
56 (2),45.43700 N,63.18077 W,DF,Penta,6.2,,0.043,0.012,
57 (1),45.43793 N,63.17770. W,RP,Penta,11.3,,,-1,Creo
57 (2),45.43793 N,63.17770. W,RP,Penta,11,,,-1,Creo
58 (1),45.43925 N,63.17403 W,SYP,Penta,7.2,,1.546,0.521,
58 (2),45.43925 N,63.17403 W,SYP,Penta,10.4,,0.277,0.093,
59 (1),45.43997 N,63.17168 W,RP,Penta,10.1,,0.02,0.006,
59 (2),45.43997 N,63.17168 W,RP,Penta,8.2,,0.138,0.039,
60 (1),45.44078 N,63.16949 W,RP,Penta,8.1,,0.048,0.012,
60 (2),45.44078 N,63.16949 W,RP,Penta,9.8,,,-1,Creo
